Rank,Ligand,Initial_1VYW_Affinity,Mean_Affinity,Median_Affinity,Best_Affinity,Worst_Affinity,SD_Affinity,Successful_Receptors,Receptor,Affinity
13,ligand_1868,-11.5,-10.498,-10.58,-13.04,-8.58,1.883,5,5IF1,-8.78
13,ligand_1868,-11.5,-10.498,-10.58,-13.04,-8.58,1.883,5,1W98,-8.58
14,ligand_5635,-11.62,-10.493,-10.05,-12.58,-8.6,1.604,5,1VYW,-11.65
14,ligand_5635,-11.62,-10.493,-10.05,-12.58,-8.6,1.604,5,7RWF,-9.58
14,ligand_5635,-11.62,-10.493,-10.05,-12.58,-8.6,1.604,5,5A14,-12.58
14,ligand_5635,-11.62,-10.493,-10.05,-12.58,-8.6,1.604,5,5IF1,-8.6
14,ligand_5635,-11.62,-10.493,-10.05,-12.58,-8.6,1.604,5,1W98,-10.05
15,ligand_5694,-10.73,-10.352,-10.78,-12.34,-8.16,1.876,5,1VYW,-10.78
15,ligand_5694,-10.73,-10.352,-10.78,-12.34,-8.16,1.876,5,7RWF,-11.84
15,ligand_5694,-10.73,-10.352,-10.78,-12.34,-8.16,1.876,5,5A14,-12.34
15,ligand_5694,-10.73,-10.352,-10.78,-12.34,-8.16,1.876,5,5IF1,-8.16
15,ligand_5694,-10.73,-10.352,-10.78,-12.34,-8.16,1.876,5,1W98,-8.65
16,ligand_4180,-10.1,-10.126,-10.13,-11.92,-8.26,1.478,5,1VYW,-10.13
16,ligand_4180,-10.1,-10.126,-10.13,-11.92,-8.26,1.478,5,7RWF,-11.17
16,ligand_4180,-10.1,-10.126,-10.13,-11.92,-8.26,1.478,5,5A14,-11.92
16,ligand_4180,-10.1,-10.126,-10.13,-11.92,-8.26,1.478,5,5IF1,-8.26
16,ligand_4180,-10.1,-10.126,-10.13,-11.92,-8.26,1.478,5,1W98,-9.15
17,ligand_4860,-11.19,-10.091,-9.914,-12.15,-8.09,1.617,5,1VYW,-11.19
17,ligand_4860,-11.19,-10.091,-9.914,-12.15,-8.09,1.617,5,7RWF,-9.11
17,ligand_4860,-11.19,-10.091,-9.914,-12.15,-8.09,1.617,5,5A14,-12.15
17,ligand_4860,-11.19,-10.091,-9.914,-12.15,-8.09,1.617,5,5IF1,-8.09
17,ligand_4860,-11.19,-10.091,-9.914,-12.15,-8.09,1.617,5,1W98,-9.91
18,ligand_3510,-10.93,-10.038,-10.62,-12.04,-8.03,1.675,5,1VYW,-10.91
18,ligand_3510,-10.93,-10.038,-10.62,-12.04,-8.03,1.675,5,7RWF,-12.04
18,ligand_3510,-10.93,-10.038,-10.62,-12.04,-8.03,1.675,5,5A14,-10.62
18,ligand_3510,-10.93,-10.038,-10.62,-12.04,-8.03,1.675,5,5IF1,-8.03
18,ligand_3510,-10.93,-10.038,-10.62,-12.04,-8.03,1.675,5,1W98,-8.59
19,ligand_1637,-11.34,-10.02,-10.05,-11.24,-9.13,0.911,5,1VYW,-11.24
19,ligand_1637,-11.34,-10.02,-10.05,-11.24,-9.13,0.911,5,7RWF,-9.14
19,ligand_1637,-11.34,-10.02,-10.05,-11.24,-9.13,0.911,5,5A14,-10.54
19,ligand_1637,-11.34,-10.02,-10.05,-11.24,-9.13,0.911,5,5IF1,-9.13
19,ligand_1637,-11.34,-10.02,-10.05,-11.24,-9.13,0.911,5,1W98,-10.05
20,ligand_7225,-10.71,-9.985,-10.35,-10.7,-8.57,0.895,5,1VYW,-10.7
20,ligand_7225,-10.71,-9.985,-10.35,-10.7,-8.57,0.895,5,7RWF,-10.66
20,ligand_7225,-10.71,-9.985,-10.35,-10.7,-8.57,0.895,5,5A14,-10.35
20,ligand_7225,-10.71,-9.985,-10.35,-10.7,-8.57,0.895,5,5IF1,-8.57
20,ligand_7225,-10.71,-9.985,-10.35,-10.7,-8.57,0.895,5,1W98,-9.64
21,ligand_7017,-10.66,-9.902,-10.36,-10.7,-8.63,0.936,5,1VYW,-10.7
21,ligand_7017,-10.66,-9.902,-10.36,-10.7,-8.63,0.936,5,7RWF,-10.63
