Rank,Ligand,Initial_1VYW_Affinity,Mean_Affinity,Median_Affinity,Best_Affinity,Worst_Affinity,SD_Affinity,Successful_Receptors,1VYW,7RWF,5A14,5IF1,1W98
209,ligand_6802,-10.11,-8.013,-7.899,-10.12,-6.16,1.698,5,-10.12,-6.16,-6.60,-7.90,-9.29
210,ligand_4165,-10.1,-8.011,-8.146,-10.10,-6.64,1.423,5,-10.10,-6.72,-8.44,-6.64,-8.15
211,ligand_3439,-10.2,-7.996,-7.883,-10.71,-6.56,1.625,5,-10.71,-6.56,-7.88,-6.94,-7.88
212,ligand_2368,-10.06,-7.995,-7.629,-10.03,-6.99,1.192,5,-10.03,-7.63,-6.99,-7.37,-7.96
213,ligand_1899,-10.62,-7.988,-7.507,-10.60,-6.50,1.650,5,-10.60,-6.50,-7.51,-6.83,-8.51
214,ligand_1710,-10.42,-7.980,-7.441,-10.41,-7.17,1.367,5,-10.41,-7.29,-7.58,-7.17,-7.44
215,ligand_5818,-10.19,-7.952,-7.138,-10.44,-5.89,2.206,5,-10.18,-5.89,-10.44,-7.14,-6.11
216,ligand_5522,-10.38,-7.940,-7.697,-10.42,-6.37,1.650,5,-10.42,-6.61,-8.60,-6.37,-7.70
217,ligand_7132,-10.06,-7.934,-7.394,-10.07,-7.00,1.256,5,-10.07,-7.00,-7.39,-7.18,-8.03
218,ligand_826,-10.13,-7.920,-7.663,-10.12,-6.44,1.358,5,-10.12,-6.44,-7.41,-7.66,-7.97
219,ligand_3879,-10.25,-7.913,-7.543,-10.27,-6.74,1.364,5,-10.27,-6.74,-7.54,-7.37,-7.64
220,ligand_4018,-10.63,-7.903,-7.516,-10.65,-6.39,1.689,5,-10.65,-6.39,-7.52,-6.75,-8.21
221,ligand_4871,-10.3,-7.900,-7.121,-10.29,-6.42,1.554,5,-10.29,-8.59,-7.08,-6.42,-7.12
222,ligand_2332,-10.31,-7.870,-7.238,-10.27,-6.68,1.414,5,-10.27,-6.68,-7.23,-7.24,-7.93
223,ligand_5801,-10.37,-7.849,-7.400,-10.45,-6.62,1.505,5,-10.45,-6.62,-7.40,-7.09,-7.67
224,ligand_4926,-10.2,-7.833,-7.854,-10.33,-6.45,1.590,5,-10.33,-6.45,-7.85,-6.46,-8.08
225,ligand_3766,-10.54,-7.822,-8.620,-9.77,-2.89,2.798,5,-9.77,-2.89,-8.62,-8.60,-9.23
226,ligand_4615,-10.56,-7.814,-7.145,-10.59,-6.80,1.570,5,-10.59,-6.80,-7.06,-7.14,-7.47
227,ligand_2249,-10.13,-7.807,-7.545,-10.12,-6.55,1.358,5,-10.12,-6.55,-7.58,-7.24,-7.54
228,ligand_6678,-11.04,-7.767,-7.367,-11.01,-6.06,1.898,5,-11.01,-6.06,-7.37,-6.91,-7.49
229,ligand_5614,-10.5,-7.758,-7.144,-10.45,-6.33,1.613,5,-10.45,-7.95,-6.92,-6.33,-7.14
230,ligand_5829,-10.15,-7.744,-7.811,-10.13,-5.11,1.781,5,-10.13,-5.11,-7.92,-7.75,-7.81
231,ligand_3540,-10.74,-7.733,-7.335,-10.74,-6.14,1.757,5,-10.74,-6.14,-7.45,-7.00,-7.33
232,ligand_5728,-10.89,-7.731,-7.369,-10.89,-6.07,1.847,5,-10.89,-6.07,-7.42,-6.91,-7.37
233,ligand_371,-10.5,-7.715,-7.054,-10.50,-6.88,1.559,5,-10.50,-7.05,-7.00,-6.88,-7.14
234,ligand_1763,-10.43,-7.712,-7.627,-10.39,-6.05,1.674,5,-10.39,-6.05,-7.63,-6.59,-7.89
235,ligand_7327,-10.68,-7.709,-6.899,-10.71,-6.43,1.805,5,-10.71,-6.43,-6.90,-6.44,-8.07
236,ligand_5537,-10.26,-7.674,-7.109,-10.24,-6.44,1.523,5,-10.24,-6.44,-7.11,-6.76,-7.82
237,ligand_3022,-10.17,-7.666,-7.163,-10.16,-6.81,1.403,5,-10.16,-6.81,-6.99,-7.16,-7.21
238,ligand_2858,-10.99,-7.665,-7.160,-10.99,-5.79,1.954,5,-10.99,-5.79,-7.12,-7.27,-7.16
239,ligand_6860,-11,-7.659,-7.150,-10.99,-5.77,1.959,5,-10.99,-5.77,-7.12,-7.26,-7.15
240,ligand_700,-10.17,-7.655,-7.544,-10.14,-6.03,1.575,5,-10.14,-6.03,-7.92,-6.64,-7.54
241,ligand_5206,-10.16,-7.643,-7.290,-10.16,-6.42,1.480,5,-10.16,-6.42,-7.60,-6.75,-7.29
242,ligand_2012,-10.07,-7.643,-6.879,-10.27,-6.38,1.598,5,-10.27,-6.38,-6.88,-6.65,-8.03
243,ligand_4789,-10.55,-7.641,-7.227,-9.47,-6.24,1.321,5,-9.47,-6.24,-8.49,-6.78,-7.23
244,ligand_1359,-10.1,-7.637,-7.423,-10.06,-6.03,1.484,5,-10.06,-6.03,-7.60,-7.07,-7.42
245,ligand_6180,-10.17,-7.631,-7.069,-10.20,-6.77,1.444,5,-10.20,-6.77,-6.94,-7.07,-7.17
246,ligand_4303,-10.15,-7.620,-7.528,-9.66,-5.91,1.706,5,-9.66,-6.00,-9.00,-7.53,-5.91
247,ligand_4102,-10.24,-7.609,-7.291,-10.21,-6.16,1.558,5,-10.21,-6.16,-7.63,-6.75,-7.29
248,ligand_6978,-10.66,-7.596,-7.364,-10.67,-5.92,1.839,5,-10.67,-5.92,-7.36,-6.50,-7.53
249,ligand_5768,-10.55,-7.576,-7.408,-10.57,-6.10,1.778,5,-10.57,-6.10,-7.41,-6.36,-7.44
250,ligand_6874,-10.51,-7.573,-7.039,-10.55,-6.37,1.724,5,-10.55,-6.37,-6.44,-7.04,-7.46
251,ligand_1243,-10.01,-7.558,-7.282,-9.98,-6.09,1.446,5,-9.98,-6.09,-7.28,-7.08,-7.36
252,ligand_7234,-10.02,-7.554,-7.047,-10.02,-6.57,1.437,5,-10.02,-6.57,-7.05,-6.58,-7.55
253,ligand_3554,-10.28,-7.533,-7.055,-10.32,-6.14,1.615,5,-10.32,-6.14,-6.87,-7.05,-7.28
254,ligand_152,-10.11,-7.520,-7.250,-10.53,-5.90,1.805,5,-10.53,-5.90,-7.53,-6.38,-7.25
255,ligand_7551,-10.37,-7.516,-6.933,-9.86,-6.46,1.389,5,-9.86,-6.46,-7.67,-6.93,-6.66
256,ligand_3387,-10.62,-7.507,-7.055,-10.56,-5.79,1.796,5,-10.56,-5.79,-6.92,-7.05,-7.21
257,ligand_6502,-10.28,-7.477,-6.799,-10.29,-6.18,1.633,5,-10.29,-6.70,-6.80,-6.18,-7.42
258,ligand_6194,-10.56,-7.474,-7.080,-10.60,-5.86,1.836,5,-10.60,-5.86,-7.31,-6.52,-7.08
259,ligand_3523,-10.32,-7.465,-7.096,-10.30,-5.66,1.708,5,-10.30,-5.66,-7.20,-7.10,-7.08
260,ligand_7609,-10.11,-7.442,-6.990,-10.07,-5.88,1.568,5,-10.07,-5.88,-7.35,-6.93,-6.99
261,ligand_5764,-10.76,-7.413,-6.722,-10.78,-5.81,1.940,5,-10.78,-5.81,-6.72,-6.66,-7.09
262,ligand_216,-10.76,-7.391,-6.738,-10.82,-6.11,1.943,5,-10.82,-6.11,-6.74,-6.36,-6.92
263,ligand_469,-10.22,-7.365,-6.945,-10.22,-5.74,1.689,5,-10.22,-5.74,-6.95,-6.73,-7.20
264,ligand_7141,-10.16,-7.300,-6.634,-10.15,-6.25,1.622,5,-10.15,-6.25,-7.06,-6.40,-6.63
265,ligand_4826,-10.76,-7.273,-6.827,-10.77,-5.90,2.006,5,-10.77,-5.90,-6.83,-6.00,-6.87
266,ligand_1735,-10.16,-7.261,-6.946,-10.18,-5.76,1.755,5,-10.18,-6.06,-6.95,-5.76,-7.36
267,ligand_3011,-10.32,-7.217,-6.704,-10.30,-5.60,1.875,5,-10.30,-5.60,-6.70,-5.96,-7.52
268,ligand_625,-10.12,-7.181,-6.725,-10.12,-5.95,1.685,5,-10.12,-5.95,-6.72,-6.24,-6.87
269,ligand_1193,-10.39,-7.117,-6.573,-10.38,-5.43,1.893,5,-10.38,-5.43,-6.69,-6.57,-6.52
270,ligand_1085,-10.19,-7.105,-7.776,-8.72,-4.48,1.751,5,-8.34,-4.48,-8.72,-7.78,-6.22
271,ligand_3588,-10,-6.989,-6.428,-10.04,-5.71,1.733,5,-10.04,-5.71,-6.43,-6.29,-6.47
272,ligand_3814,-10.31,-6.783,-6.122,-10.31,-5.19,2.028,5,-10.31,-5.19,-6.12,-5.82,-6.48
273,ligand_2867,-11,-6.201,-7.392,-10.93,2.00,5.147,5,-9.83,-4.85,-10.93,-7.39,2.00
274,ligand_2847,-10.06,-6.170,-7.703,-10.21,1.83,4.667,5,-10.21,1.83,-6.49,-8.28,-7.70
275,ligand_946,-10.06,-4.631,-5.367,-8.39,2.96,4.580,5,-8.39,-4.34,-5.37,-8.02,2.96
276,ligand_615,-10.05,-3.231,-5.345,-8.20,4.23,5.054,5,-8.20,4.23,-5.34,-6.36,-0.48
277,ligand_7385,-10.19,3.716,-6.191,-8.61,22.36,14.906,5,-6.42,22.36,17.44,-6.19,-8.61
278,ligand_1843,-10.38,3.734,-7.523,-8.20,22.50,15.894,5,-7.83,19.72,22.50,-7.52,-8.20
279,ligand_4446,-10.36,3.918,-6.812,-8.92,24.09,16.221,5,-6.81,24.09,19.03,-7.79,-8.92
