Rank,Ligand,Initial_1VYW_Affinity,Mean_Affinity,Median_Affinity,Best_Affinity,Worst_Affinity,SD_Affinity,Successful_Receptors,1VYW,7RWF,5A14,5IF1,1W98
48,ligand_3748,-10.4,-9.458,-10.020,-10.55,-7.55,1.290,5,-10.44,-10.55,-10.02,-7.55,-8.73
49,ligand_5350,-10.76,-9.455,-8.926,-11.52,-7.66,1.617,5,-10.74,-11.52,-8.93,-7.66,-8.43
50,ligand_7218,-10.18,-9.441,-9.545,-10.78,-7.54,1.231,5,-10.19,-10.78,-9.54,-7.54,-9.15
51,ligand_112,-10.31,-9.438,-10.380,-10.76,-7.21,1.550,5,-10.38,-10.42,-10.76,-7.21,-8.42
52,ligand_382,-10.23,-9.410,-9.951,-10.41,-7.98,1.109,5,-10.24,-10.41,-9.95,-7.98,-8.47
53,ligand_4583,-10.27,-9.405,-9.358,-10.70,-8.25,1.082,5,-10.27,-9.36,-10.70,-8.25,-8.44
54,ligand_4042,-10.17,-9.384,-9.629,-10.93,-7.13,1.439,5,-10.19,-9.63,-10.93,-7.13,-9.04
55,ligand_2780,-10.14,-9.380,-10.020,-11.77,-7.42,1.861,5,-10.02,-11.77,-10.13,-7.42,-7.56
56,ligand_6098,-10.35,-9.365,-9.995,-10.36,-7.96,1.184,5,-10.31,-10.36,-9.99,-8.20,-7.96
57,ligand_1542,-10.51,-9.360,-9.181,-12.53,-7.21,2.064,5,-9.94,-7.95,-12.53,-9.18,-7.21
58,ligand_6004,-10.93,-9.344,-8.754,-11.10,-7.58,1.580,5,-10.92,-11.10,-8.75,-7.58,-8.37
59,ligand_65,-10.1,-9.341,-9.717,-10.31,-7.99,0.982,5,-10.03,-9.72,-10.31,-7.99,-8.66
60,ligand_2398,-10.41,-9.337,-10.340,-10.78,-7.11,1.655,5,-10.34,-10.43,-10.78,-7.11,-8.02
61,ligand_3851,-11.17,-9.337,-9.634,-11.26,-7.93,1.354,5,-11.26,-9.72,-9.63,-8.14,-7.93
62,ligand_4262,-10.09,-9.335,-10.150,-10.99,-6.90,1.682,5,-10.15,-10.99,-10.31,-6.90,-8.33
63,ligand_2664,-10.69,-9.332,-10.440,-10.73,-7.02,1.751,5,-10.60,-10.73,-10.44,-7.02,-7.87
64,ligand_7155,-10.2,-9.331,-10.150,-10.59,-7.04,1.552,5,-10.15,-10.59,-10.46,-7.04,-8.42
65,ligand_5729,-10.31,-9.323,-10.330,-10.74,-7.18,1.692,5,-10.33,-10.74,-10.56,-7.18,-7.80
66,ligand_2615,-10.77,-9.323,-9.926,-10.28,-6.75,1.463,5,-9.93,-10.11,-10.28,-6.75,-9.55
67,ligand_3957,-10.74,-9.321,-9.109,-10.78,-8.19,0.960,5,-10.78,-9.60,-9.11,-8.19,-8.93
68,ligand_3391,-10.05,-9.319,-10.060,-11.18,-7.25,1.660,5,-10.06,-11.18,-10.19,-7.25,-7.92
69,ligand_6813,-10.29,-9.318,-9.651,-10.54,-7.89,1.216,5,-10.32,-10.54,-9.65,-7.89,-8.18
70,ligand_4832,-10.28,-9.317,-8.974,-10.88,-8.22,1.199,5,-10.25,-10.88,-8.97,-8.22,-8.26
71,ligand_3332,-10.55,-9.311,-9.673,-10.71,-7.59,1.386,5,-10.44,-10.71,-9.67,-7.59,-8.14
72,ligand_973,-11.44,-9.300,-9.136,-11.21,-7.89,1.203,5,-11.21,-8.94,-9.14,-7.89,-9.32
73,ligand_6608,-11.45,-9.299,-9.025,-11.45,-7.74,1.437,5,-11.45,-9.87,-9.03,-7.74,-8.41
74,ligand_5813,-10.16,-9.298,-10.180,-10.54,-7.01,1.525,5,-10.31,-10.18,-10.54,-7.01,-8.45
75,ligand_6718,-10.41,-9.297,-10.110,-10.51,-7.24,1.481,5,-10.51,-10.11,-10.41,-7.24,-8.22
76,ligand_1165,-10.53,-9.292,-10.350,-10.54,-7.32,1.601,5,-10.54,-10.47,-10.35,-7.32,-7.78
77,ligand_6143,-10.34,-9.289,-8.697,-11.17,-7.82,1.431,5,-10.41,-11.17,-8.70,-7.82,-8.35
78,ligand_1869,-10.12,-9.288,-10.030,-10.11,-7.31,1.214,5,-10.11,-10.03,-10.07,-7.31,-8.92
79,ligand_4275,-10.5,-9.276,-10.070,-10.51,-7.22,1.465,5,-10.51,-10.07,-10.34,-7.22,-8.24
80,ligand_5542,-10.96,-9.269,-9.181,-10.95,-7.79,1.242,5,-10.95,-9.97,-9.18,-7.79,-8.45
81,ligand_7151,-10.04,-9.267,-9.934,-10.59,-7.27,1.389,5,-10.15,-10.59,-9.93,-7.27,-8.39
82,ligand_4848,-10.39,-9.267,-10.150,-10.44,-6.62,1.644,5,-10.44,-10.42,-10.15,-6.62,-8.71
83,ligand_5790,-11.26,-9.265,-8.786,-11.30,-8.47,1.163,5,-11.30,-8.64,-8.79,-8.47,-9.13
84,ligand_1354,-10.07,-9.257,-10.100,-11.01,-6.95,1.741,5,-10.10,-11.01,-10.33,-6.95,-7.90
85,ligand_4032,-10.13,-9.251,-10.160,-11.04,-6.41,2.059,5,-10.16,-11.04,-10.88,-6.41,-7.77
86,ligand_4034,-10.89,-9.251,-9.559,-10.88,-7.56,1.294,5,-10.88,-9.56,-9.86,-7.56,-8.40
87,ligand_7214,-10.05,-9.248,-10.110,-11.01,-6.91,1.754,5,-10.11,-11.01,-10.32,-6.91,-7.89
